,Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total,RootPosition
1024,"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,JE Root,1,4.0,6,0,26,8.1,28,GS Ballance,9.0,25.0,37,0.0,27.0,9.2,42,240.0,3
1031,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",2,JE Root,56,122.0,155,0,10,1.5,5,GS Ballance,9.0,18.0,19,0.0,24.0,4.1,160,244.0,3
1033,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",4,JE Root,1,2.0,4,0,100,23.1,82,GS Ballance,5.0,14.0,26,0.0,105.0,24.1,129,164.0,3
1050,"9,10,11,12,13 November 2016 ",2016/17,2232,"Saurashtra Cricket Association Stadium, Rajkot",1,JE Root,124,180.0,239,0,47,15.1,63,BM Duckett,13.0,17.0,21,0.0,76.0,26.3,302,537.0,3
1052,"9,10,11,12,13 November 2016 ",2016/17,2232,"Saurashtra Cricket Association Stadium, Rajkot",3,JE Root,4,5.0,10,0,180,58.4,233,BA Stokes,29.0,29.0,54,1.0,192.0,60.5,299,260.0,3
1062,"17,18,19,20,21 November 2016 ",2016/17,2235,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,JE Root,53,98.0,105,0,4,2.3,13,BM Duckett,5.0,19.0,21,0.0,51.0,20.6,118,255.0,3
1064,"17,18,19,20,21 November 2016 ",2016/17,2235,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,JE Root,25,107.0,123,0,75,50.2,188,BM Duckett,0.0,16.0,15,0.0,87.0,59.2,221,158.0,3
1073,"26,27,28,29 November 2016 ",2016/17,2238,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,JE Root,15,13.0,21,0,32,9.6,45,MM Ali,16.0,45.0,42,0.0,51.0,14.1,72,283.0,3
1077,"8,9,10,11,12 December 2016 ",2016/17,2239,"Wankhede Stadium, Mumbai",1,JE Root,21,41.0,39,0,99,25.3,103,MM Ali,50.0,104.0,125,0.0,136.0,38.2,272,400.0,3
1079,"8,9,10,11,12 December 2016 ",2016/17,2239,"Wankhede Stadium, Mumbai",3,JE Root,77,112.0,127,0,1,0.2,2,MM Ali,0.0,3.0,7,0.0,43.0,11.5,129,195.0,3
1084,"16,17,18,19,20 December 2016 ",2016/17,2241,"MA Chidambaram Stadium, Chepauk, Chennai",1,JE Root,88,144.0,187,0,7,5.2,25,MM Ali,146.0,262.0,365,0.0,21.0,12.4,212,477.0,3
