,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
624,"27,28,29,30 January 2014 ",2013/14,2116,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Marshall Ayub,18,36.0,47,0,15,3.3,250
625,"4,5,6,7,8 February 2014 ",2013/14,2117,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,KC Sangakkara,319,482.0,551,0,39,15.6,587
626,"4,5,6,7,8 February 2014 ",2013/14,2117,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Imrul Kayes,115,218.0,304,0,0,0.4,426
627,"4,5,6,7,8 February 2014 ",2013/14,2117,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,KC Sangakkara,105,144.0,176,0,36,12.3,305
628,"4,5,6,7,8 February 2014 ",2013/14,2117,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Imrul Kayes,25,66.0,96,0,71,29.4,271
629,"6,7,8,9 February 2014 ",2013/14,2118,"Eden Park, Auckland",1,KS Williamson,113,172.0,250,0,19,9.5,503
630,"6,7,8,9 February 2014 ",2013/14,2118,"Eden Park, Auckland",2,CA Pujara,1,3.0,3,0,1,0.2,202
631,"6,7,8,9 February 2014 ",2013/14,2118,"Eden Park, Auckland",3,KS Williamson,3,17.0,22,0,1,0.6,105
632,"6,7,8,9 February 2014 ",2013/14,2118,"Eden Park, Auckland",4,CA Pujara,23,71.0,91,0,36,7.6,366
633,"12,13,14,15 February 2014 ",2013/14,2119,"SuperSport Park, Centurion",1,AJ Doolan,27,51.0,85,0,15,4.1,397
634,"12,13,14,15 February 2014 ",2013/14,2119,"SuperSport Park, Centurion",2,HM Amla,17,42.0,54,0,11,1.4,206
635,"12,13,14,15 February 2014 ",2013/14,2119,"SuperSport Park, Centurion",3,AJ Doolan,89,154.0,247,0,1,1.1,290
636,"12,13,14,15 February 2014 ",2013/14,2119,"SuperSport Park, Centurion",4,HM Amla,35,71.0,125,0,6,1.5,200
637,"14,15,16,17,18 February 2014 ",2013/14,2120,"Basin Reserve, Wellington",1,KS Williamson,47,100.0,167,0,23,9.3,192
638,"14,15,16,17,18 February 2014 ",2013/14,2120,"Basin Reserve, Wellington",2,CA Pujara,19,59.0,99,0,2,1.6,438
639,"14,15,16,17,18 February 2014 ",2013/14,2120,"Basin Reserve, Wellington",3,KS Williamson,7,22.0,40,0,1,1.3,680
640,"14,15,16,17,18 February 2014 ",2013/14,2120,"Basin Reserve, Wellington",4,CA Pujara,17,50.0,75,0,10,4.5,166
641,"20,21,22,23 February 2014 ",2013/14,2121,"St George's Park, Port Elizabeth",1,HM Amla,0,2.0,3,0,10,4.6,423
642,"20,21,22,23 February 2014 ",2013/14,2121,"St George's Park, Port Elizabeth",2,AJ Doolan,8,15.0,29,0,7,3.3,246
643,"20,21,22,23 February 2014 ",2013/14,2121,"St George's Park, Port Elizabeth",3,HM Amla,127,176.0,277,1,20,4.1,270
644,"20,21,22,23 February 2014 ",2013/14,2121,"St George's Park, Port Elizabeth",4,AJ Doolan,5,43.0,61,0,126,29.2,216
645,"1,2,3,4,5 March 2014 ",2013/14,2122,"Newlands, Cape Town",1,AJ Doolan,20,66.0,83,0,65,13.3,494
646,"1,2,3,4,5 March 2014 ",2013/14,2122,"Newlands, Cape Town",2,D Elgar,11,20.0,35,0,7,4.5,287
647,"1,2,3,4,5 March 2014 ",2013/14,2122,"Newlands, Cape Town",3,AJ Doolan,37,87.0,91,0,123,20.2,303
648,"1,2,3,4,5 March 2014 ",2013/14,2122,"Newlands, Cape Town",4,D Elgar,0,13.0,19,0,12,2.1,265
649,"8,9,10,11 June 2014 ",2014,2123,"Sabina Park, Kingston, Jamaica",1,KS Williamson,113,298.0,370,0,9,8.1,508
650,"8,9,10,11 June 2014 ",2014,2123,"Sabina Park, Kingston, Jamaica",2,KA Edwards,0,2.0,3,0,60,27.1,262
651,"8,9,10,11 June 2014 ",2014,2123,"Sabina Park, Kingston, Jamaica",3,KS Williamson,2,30.0,35,0,0,0.2,156
652,"8,9,10,11 June 2014 ",2014,2123,"Sabina Park, Kingston, Jamaica",4,KA Edwards,14,26.0,44,0,8,1.4,216
653,"12,13,14,15,16 June 2014 ",2014,2124,"Lord's, London",1,GS Ballance,23,40.0,73,0,14,3.6,575
654,"12,13,14,15,16 June 2014 ",2014,2124,"Lord's, London",2,KC Sangakkara,147,258.0,449,0,54,12.3,453
655,"12,13,14,15,16 June 2014 ",2014,2124,"Lord's, London",3,GS Ballance,104,188.0,252,1,46,13.2,267
656,"12,13,14,15,16 June 2014 ",2014,2124,"Lord's, London",4,KC Sangakkara,61,168.0,218,0,25,7.1,201
657,"16,17,18,19,20 June 2014 ",2014,2125,"Queen's Park Oval, Port of Spain, Trinidad",1,KS Williamson,42,104.0,153,0,16,8.1,221
658,"16,17,18,19,20 June 2014 ",2014,2125,"Queen's Park Oval, Port of Spain, Trinidad",2,SJ Benn,4,20.0,39,0,4,2.6,460
659,"16,17,18,19,20 June 2014 ",2014,2125,"Queen's Park Oval, Port of Spain, Trinidad",3,KS Williamson,52,178.0,215,0,9,6.4,331
660,"20,21,22,23,24 June 2014 ",2014,2126,"Headingley, Leeds",1,KC Sangakkara,79,147.0,215,0,37,14.4,257
661,"20,21,22,23,24 June 2014 ",2014,2126,"Headingley, Leeds",2,GS Ballance,74,157.0,209,0,49,18.1,365
662,"20,21,22,23,24 June 2014 ",2014,2126,"Headingley, Leeds",3,KC Sangakkara,55,103.0,171,0,40,20.2,457
663,"20,21,22,23,24 June 2014 ",2014,2126,"Headingley, Leeds",4,GS Ballance,0,1.0,1,0,39,15.3,249
664,"26,27,28,29,30 June 2014 ",2014,2127,"Kensington Oval, Bridgetown, Barbados",1,KS Williamson,43,68.0,110,0,17,3.6,293
665,"26,27,28,29,30 June 2014 ",2014,2127,"Kensington Oval, Bridgetown, Barbados",2,KA Edwards,58,111.0,163,0,79,21.5,317
666,"26,27,28,29,30 June 2014 ",2014,2127,"Kensington Oval, Bridgetown, Barbados",3,KS Williamson,161,271.0,381,1,1,1.6,331
667,"26,27,28,29,30 June 2014 ",2014,2127,"Kensington Oval, Bridgetown, Barbados",4,KA Edwards,10,11.0,20,0,7,2.3,254
668,"9,10,11,12,13 July 2014 ",2014,2128,"Trent Bridge, Nottingham",1,CA Pujara,38,69.0,99,0,33,6.6,457
669,"9,10,11,12,13 July 2014 ",2014,2128,"Trent Bridge, Nottingham",2,GS Ballance,71,167.0,211,0,9,3.3,496
670,"9,10,11,12,13 July 2014 ",2014,2128,"Trent Bridge, Nottingham",3,CA Pujara,55,101.0,124,0,49,11.4,391
671,"16,17,18,19,20 July 2014 ",2014,2129,Galle International Stadium,1,F du Plessis,80,196.0,247,0,70,16.5,455
672,"16,17,18,19,20 July 2014 ",2014,2129,Galle International Stadium,2,KC Sangakkara,24,34.0,67,0,39,16.3,292
673,"16,17,18,19,20 July 2014 ",2014,2129,Galle International Stadium,3,F du Plessis,37,78.0,103,0,33,11.5,206
674,"16,17,18,19,20 July 2014 ",2014,2129,Galle International Stadium,4,KC Sangakkara,76,145.0,205,0,14,2.4,216
675,"17,18,19,20,21 July 2014 ",2014,2130,"Lord's, London",1,CA Pujara,28,117.0,171,0,11,2.5,295
676,"17,18,19,20,21 July 2014 ",2014,2130,"Lord's, London",2,GS Ballance,110,203.0,297,0,22,10.1,319
677,"17,18,19,20,21 July 2014 ",2014,2130,"Lord's, London",3,CA Pujara,43,83.0,126,0,40,13.6,342
678,"17,18,19,20,21 July 2014 ",2014,2130,"Lord's, London",4,GS Ballance,27,59.0,81,0,12,6.1,223
679,"24,25,26,27,28 July 2014 ",2014,2131,"Sinhalese Sports Club Ground, Colombo",1,KC Sangakkara,0,1.0,2,0,16,4.5,421
680,"24,25,26,27,28 July 2014 ",2014,2131,"Sinhalese Sports Club Ground, Colombo",2,F du Plessis,36,109.0,130,0,3,1.5,282
681,"24,25,26,27,28 July 2014 ",2014,2131,"Sinhalese Sports Club Ground, Colombo",3,KC Sangakkara,72,90.0,134,0,38,10.2,229
682,"24,25,26,27,28 July 2014 ",2014,2131,"Sinhalese Sports Club Ground, Colombo",4,Q de Kockʠ,37,92.0,96,0,4,8.1,159
683,"27,28,29,30,31 July 2014 ",2014,2132,"The Rose Bowl, Southampton",1,GS Ballance,156,288.0,384,0,55,20.5,569
684,"27,28,29,30,31 July 2014 ",2014,2132,"The Rose Bowl, Southampton",2,CA Pujara,24,52.0,77,0,17,6.3,330
685,"27,28,29,30,31 July 2014 ",2014,2132,"The Rose Bowl, Southampton",3,GS Ballance,38,48.0,58,0,22,6.4,205
686,"27,28,29,30,31 July 2014 ",2014,2132,"The Rose Bowl, Southampton",4,CA Pujara,2,6.0,6,0,26,11.1,178
687,"6,7,8,9,10 August 2014 ",2014,2133,Galle International Stadium,1,Azhar Ali,30,69.0,87,0,4,1.3,451
688,"6,7,8,9,10 August 2014 ",2014,2133,Galle International Stadium,2,KC Sangakkara,221,425.0,698,0,24,4.4,533
689,"6,7,8,9,10 August 2014 ",2014,2133,Galle International Stadium,3,Saeed Ajmal,4,21.0,36,0,3,3.3,180
690,"6,7,8,9,10 August 2014 ",2014,2133,Galle International Stadium,4,KC Sangakkara,21,22.0,40,0,28,7.2,99
691,"7,8,9 August 2014 ",2014,2134,"Old Trafford, Manchester",1,CA Pujara,0,6.0,13,0,8,3.1,152
692,"7,8,9 August 2014 ",2014,2134,"Old Trafford, Manchester",2,GS Ballance,37,87.0,118,0,21,8.6,367
693,"7,8,9 August 2014 ",2014,2134,"Old Trafford, Manchester",3,CA Pujara,17,38.0,46,0,26,10.5,161
694,"9,10,11,12 August 2014 ",2014,2135,Harare Sports Club,1,MA Vermeulen,14,36.0,63,0,0,2.1,256
695,"9,10,11,12 August 2014 ",2014,2135,Harare Sports Club,2,F du Plessis,98,264.0,356,0,57,22.2,397
696,"9,10,11,12 August 2014 ",2014,2135,Harare Sports Club,3,DT Tiripano,5,63.0,85,0,25,9.1,181
697,"9,10,11,12 August 2014 ",2014,2135,Harare Sports Club,4,F du Plessis,5,6.0,4,1,39,9.4,44
698,"14,15,16,17,18 August 2014 ",2014,2136,"Sinhalese Sports Club Ground, Colombo",1,KC Sangakkara,22,45.0,68,0,79,32.5,320
699,"14,15,16,17,18 August 2014 ",2014,2136,"Sinhalese Sports Club Ground, Colombo",2,Azhar Ali,32,77.0,102,0,47,8.4,332
700,"14,15,16,17,18 August 2014 ",2014,2136,"Sinhalese Sports Club Ground, Colombo",3,KC Sangakkara,59,130.0,203,0,54,20.2,282
701,"14,15,16,17,18 August 2014 ",2014,2136,"Sinhalese Sports Club Ground, Colombo",4,Azhar Ali,10,30.0,38.0,0,17,3.4,165
702,"15,16,17 August 2014 ",2014,2137,"Kennington Oval, London",1,CA Pujara,4,19.0,24,0,3,0.4,148
703,"15,16,17 August 2014 ",2014,2137,"Kennington Oval, London",2,GS Ballance,64,117.0,181,0,66,20.5,486
704,"15,16,17 August 2014 ",2014,2137,"Kennington Oval, London",3,CA Pujara,11,19.0,34,0,6,4.5,94
705,"5,6,7,8,9 September 2014 ",2014,2138,"Arnos Vale Ground, Kingstown, St Vincent",1,KA Edwards,10,14.0,12,0,116,39.1,484
706,"5,6,7,8,9 September 2014 ",2014,2138,"Arnos Vale Ground, Kingstown, St Vincent",2,Imrul Kayes,9,12.0,16,0,1,3.2,182
707,"5,6,7,8,9 September 2014 ",2014,2138,"Arnos Vale Ground, Kingstown, St Vincent",3,Imrul Kayes,25,72.0,91,0,11,3.2,314
708,"13,14,15,16 September 2014 ",2014,2139,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,KA Edwards,16,52.0,64,0,143,49.5,380
709,"13,14,15,16 September 2014 ",2014,2139,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,Anamul Haque,9,39.0,63,0,14,5.2,161
710,"13,14,15,16 September 2014 ",2014,2139,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",3,KA Edwards,2,8.0,13,0,76,19.3,269
711,"13,14,15,16 September 2014 ",2014,2139,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",4,Anamul Haque,0,8.0,11,0,47,8.4,192
712,"22,23,24,25,26 October 2014 ",2014/15,2140,Dubai International Cricket Stadium,1,Azhar Ali,53,167.0,211,0,1,0.5,454
713,"22,23,24,25,26 October 2014 ",2014/15,2140,Dubai International Cricket Stadium,2,AJ Doolan,5,34.0,53,0,128,37.3,303
714,"22,23,24,25,26 October 2014 ",2014/15,2140,Dubai International Cricket Stadium,3,Younis Khan,103,152.0,220,1,71,24.4,286
715,"22,23,24,25,26 October 2014 ",2014/15,2140,Dubai International Cricket Stadium,4,AJ Doolan,0,5.0,3,0,44,13.1,216
716,"25,26,27 October 2014 ",2014/15,2141,"Shere Bangla National Stadium, Mirpur, Dhaka",1,H Masakadza,13,32.0,45,0,6,0.5,240
717,"25,26,27 October 2014 ",2014/15,2141,"Shere Bangla National Stadium, Mirpur, Dhaka",2,Mominul Haque,53,112.0,146,0,10,4.5,254
718,"25,26,27 October 2014 ",2014/15,2141,"Shere Bangla National Stadium, Mirpur, Dhaka",3,H Masakadza,5,7.0,10,0,19,5.5,114
719,"25,26,27 October 2014 ",2014/15,2141,"Shere Bangla National Stadium, Mirpur, Dhaka",4,Mominul Haque,0,5.0,10,0,0,2.2,101
720,"30,31 October, 1,2,3 November 2014 ",2014/15,2142,"Sheikh Zayed Stadium, Abu Dhabi",1,Azhar Ali,109,250.0,346,0,57,17.6,570
721,"30,31 October, 1,2,3 November 2014 ",2014/15,2142,"Sheikh Zayed Stadium, Abu Dhabi",2,NM Lyon,15,85.0,101,0,21,4.1,261
722,"30,31 October, 1,2,3 November 2014 ",2014/15,2142,"Sheikh Zayed Stadium, Abu Dhabi",3,Azhar Ali,100,174.0,256,1,14,0.6,293
723,"30,31 October, 1,2,3 November 2014 ",2014/15,2142,"Sheikh Zayed Stadium, Abu Dhabi",4,GJ Maxwell,4,12.0,14,0,19,7.6,246
724,"3,4,5,6,7 November 2014 ",2014/15,2143,"Sheikh Abu Naser Stadium, Khulna",1,Mominul Haque,35,101.0,120,0,6,7.2,433
725,"3,4,5,6,7 November 2014 ",2014/15,2143,"Sheikh Abu Naser Stadium, Khulna",2,H Masakadza,158,326.0,421,0,17,5.6,368
726,"3,4,5,6,7 November 2014 ",2014/15,2143,"Sheikh Abu Naser Stadium, Khulna",3,Mominul Haque,54,97.0,137,0,28,7.6,248
727,"3,4,5,6,7 November 2014 ",2014/15,2143,"Sheikh Abu Naser Stadium, Khulna",4,H Masakadza,61,113.0,144,0,11,4.6,151
728,"9,10,11,12,13 November 2014 ",2014/15,2144,"Sheikh Zayed Stadium, Abu Dhabi",1,Azhar Ali,87,215.0,295,0,178,52.6,566
729,"9,10,11,12,13 November 2014 ",2014/15,2144,"Sheikh Zayed Stadium, Abu Dhabi",2,KS Williamson,3,4.0,9,0,33,17.2,262
730,"9,10,11,12,13 November 2014 ",2014/15,2144,"Sheikh Zayed Stadium, Abu Dhabi",3,Younis Khan,28,45.0,71,0,69,18.4,175
731,"9,10,11,12,13 November 2014 ",2014/15,2144,"Sheikh Zayed Stadium, Abu Dhabi",4,KS Williamson,23,45.0,71,0,57,13.1,231
732,"12,13,14,15,16 November 2014 ",2014/15,2145,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,Mominul Haque,48,100.0,132,0,224,63.5,503
733,"12,13,14,15,16 November 2014 ",2014/15,2145,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,H Masakadza,81,151.0,155,0,9,1.6,374
734,"12,13,14,15,16 November 2014 ",2014/15,2145,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,Mominul Haque,131,189.0,271,1,36,13.4,319
735,"12,13,14,15,16 November 2014 ",2014/15,2145,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,H Masakadza,38,91.0,86,0,4,1.5,262
736,"17,18,19,20,21 November 2014 ",2014/15,2146,Dubai International Cricket Stadium,1,KS Williamson,32,86.0,126,0,77,24.1,403
737,"17,18,19,20,21 November 2014 ",2014/15,2146,Dubai International Cricket Stadium,2,Azhar Ali,75,225.0,322,0,28,14.4,393
738,"17,18,19,20,21 November 2014 ",2014/15,2146,Dubai International Cricket Stadium,3,KS Williamson,11,26.0,31,0,42,10.6,250
739,"17,18,19,20,21 November 2014 ",2014/15,2146,Dubai International Cricket Stadium,4,Azhar Ali,24,74.0,95,0,8,1.6,196
740,"26,27,28,29,30 November 2014 ",2014/15,2147,Sharjah Cricket Stadium,1,Azhar Ali,39,102.0,113,0,44,16.5,351
741,"26,27,28,29,30 November 2014 ",2014/15,2147,Sharjah Cricket Stadium,2,KS Williamson,192,244.0,399,0,51,8.4,690
742,"26,27,28,29,30 November 2014 ",2014/15,2147,Sharjah Cricket Stadium,3,Azhar Ali,6,16.0,19,0,13,2.2,259
743,"9,10,11,12,13 December 2014 ",2014/15,2148,Adelaide Oval,1,SR Watson,14,33.0,53,0,50,7.5,517
744,"9,10,11,12,13 December 2014 ",2014/15,2148,Adelaide Oval,2,CA Pujara,73,135.0,187,0,30,7.4,444
745,"9,10,11,12,13 December 2014 ",2014/15,2148,Adelaide Oval,3,SR Watson,33,86.0,119,0,38,12.1,290
746,"9,10,11,12,13 December 2014 ",2014/15,2148,Adelaide Oval,4,CA Pujara,21,38.0,67,0,16,4.1,315
747,"17,18,19,20 December 2014 ",2014/15,2149,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,CA Pujara,18,64.0,87,0,56,13.4,408
748,"17,18,19,20 December 2014 ",2014/15,2149,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,SR Watson,25,29.0,58,0,47,8.3,505
749,"17,18,19,20 December 2014 ",2014/15,2149,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,CA Pujara,43,93.0,167,0,41,10.3,224
750,"17,18,19,20 December 2014 ",2014/15,2149,"Brisbane Cricket Ground, Woolloongabba, Brisbane",4,SR Watson,0,8.0,11,0,18,4.1,130
751,"17,18,19,20 December 2014 ",2014/15,2150,"SuperSport Park, Centurion",1,F du Plessis,0,8.0,13,0,57,13.3,552
752,"17,18,19,20 December 2014 ",2014/15,2150,"SuperSport Park, Centurion",2,LR Johnson,31,42.0,61.0,0,72,21.4,201
753,"17,18,19,20 December 2014 ",2014/15,2150,"SuperSport Park, Centurion",3,LR Johnson,39,88.0,117.0,0,8,3.2,131
754,"26,27,28,29 December 2014 ",2014/15,2151,"Hagley Oval, Christchurch",1,KS Williamson,54,98.0,160,0,37,13.1,441
755,"26,27,28,29 December 2014 ",2014/15,2151,"Hagley Oval, Christchurch",2,KC Sangakkara,6,27.0,38,0,0,0.4,138
756,"26,27,28,29 December 2014 ",2014/15,2151,"Hagley Oval, Christchurch",3,KC Sangakkara,1,16.0,25,0,85,35.6,407
757,"26,27,28,29 December 2014 ",2014/15,2151,"Hagley Oval, Christchurch",4,KS Williamson,31,75.0,113,1,23,5.4,107
758,"26,27,28,29,30 December 2014 ",2014/15,2152,Melbourne Cricket Ground,1,SR Watson,52,89.0,153,0,0,1.6,530
759,"26,27,28,29,30 December 2014 ",2014/15,2152,Melbourne Cricket Ground,2,CA Pujara,25,71.0,90,0,55,14.2,465
760,"26,27,28,29,30 December 2014 ",2014/15,2152,Melbourne Cricket Ground,3,SR Watson,17,34.0,41,0,57,14.2,318
761,"26,27,28,29,30 December 2014 ",2014/15,2152,Melbourne Cricket Ground,4,KL Rahul,1,5.0,6,0,2,1.2,174
762,"26,27,28,29,30 December 2014 ",2014/15,2153,"St George's Park, Port Elizabeth",1,F du Plessis,103,230.0,335,0,47,11.5,417
763,"26,27,28,29,30 December 2014 ",2014/15,2153,"St George's Park, Port Elizabeth",2,LR Johnson,0,1.0,1,0,55,16.5,275
764,"2,3,4,5,6 January 2015 ",2014/15,2154,"Newlands, Cape Town",1,LR Johnson,54,84.0,109,0,30,13.2,329
765,"2,3,4,5,6 January 2015 ",2014/15,2154,"Newlands, Cape Town",2,F du Plessis,68,122.0,150,0,48,11.5,421
766,"2,3,4,5,6 January 2015 ",2014/15,2154,"Newlands, Cape Town",3,LR Johnson,44,76.0,112,0,23,10.6,215
767,"2,3,4,5,6 January 2015 ",2014/15,2154,"Newlands, Cape Town",4,F du Plessis,14,69.0,77,0,9,2.3,124
768,"3,4,5,6,7 January 2015 ",2014/15,2155,"Basin Reserve, Wellington",1,KS Williamson,69,115.0,187,0,31,7.1,221
769,"3,4,5,6,7 January 2015 ",2014/15,2155,"Basin Reserve, Wellington",2,KC Sangakkara,203,306.0,412,0,18,8.1,356
770,"3,4,5,6,7 January 2015 ",2014/15,2155,"Basin Reserve, Wellington",3,KS Williamson,242,438.0,623,1,75,26.4,524
771,"3,4,5,6,7 January 2015 ",2014/15,2155,"Basin Reserve, Wellington",4,KTGD Prasad,6,27.0,19,0,42,13.2,196
772,"6,7,8,9,10 January 2015 ",2014/15,2156,Sydney Cricket Ground,1,SR Watson,81,183.0,253,0,200,44.5,572
773,"6,7,8,9,10 January 2015 ",2014/15,2156,Sydney Cricket Ground,2,RG Sharma,53,133.0,179,0,0,0.3,475
774,"6,7,8,9,10 January 2015 ",2014/15,2156,Sydney Cricket Ground,3,SR Watson,16,17.0,25,0,6,1.3,251
775,"6,7,8,9,10 January 2015 ",2014/15,2156,Sydney Cricket Ground,4,RG Sharma,39,90.0,102,0,48,13.2,252
776,"13,14,15,16,17 April 2015 ",2015,2157,"Sir Vivian Richards Stadium, North Sound, Antigua",1,GS Ballance,10,46.0,77,0,1,0.5,399
777,"13,14,15,16,17 April 2015 ",2015,2157,"Sir Vivian Richards Stadium, North Sound, Antigua",2,DM Bravo,10,25.0,44,0,19,8.2,295
778,"13,14,15,16,17 April 2015 ",2015,2157,"Sir Vivian Richards Stadium, North Sound, Antigua",3,GS Ballance,122,250.0,310,0,15,4.6,333
779,"13,14,15,16,17 April 2015 ",2015,2157,"Sir Vivian Richards Stadium, North Sound, Antigua",4,DM Bravo,32,87.0,118,0,7,1.5,350
780,"21,22,23,24,25 April 2015 ",2015,2158,"National Cricket Stadium, St George's, Grenada",1,DM Bravo,35,81.0,114,0,2,2.1,299
781,"21,22,23,24,25 April 2015 ",2015,2158,"National Cricket Stadium, St George's, Grenada",2,GS Ballance,77,188.0,240,0,125,49.2,464
782,"21,22,23,24,25 April 2015 ",2015,2158,"National Cricket Stadium, St George's, Grenada",3,DM Bravo,69,147.0,186,0,3,2.4,307
783,"21,22,23,24,25 April 2015 ",2015,2158,"National Cricket Stadium, St George's, Grenada",4,GS Ballance,81,126.0,148,1,2,1.3,144
784,"28,29,30 April, 1,2 May 2015 ",2015,2159,"Sheikh Abu Naser Stadium, Khulna",1,Mominul Haque,80,162.0,263,0,52,26.6,332
785,"28,29,30 April, 1,2 May 2015 ",2015,2159,"Sheikh Abu Naser Stadium, Khulna",2,Azhar Ali,83,177.0,246,0,50,11.5,628
786,"28,29,30 April, 1,2 May 2015 ",2015,2159,"Sheikh Abu Naser Stadium, Khulna",3,Mominul Haque,21,51.0,46,0,312,75.4,555
787,"1,2,3 May 2015 ",2015,2160,"Kensington Oval, Bridgetown, Barbados",1,GS Ballance,18,46.0,70,0,0,1.3,257
788,"1,2,3 May 2015 ",2015,2160,"Kensington Oval, Bridgetown, Barbados",2,DM Bravo,9,39.0,65,0,0,0.2,189
789,"1,2,3 May 2015 ",2015,2160,"Kensington Oval, Bridgetown, Barbados",3,GS Ballance,23,75.0,107,0,11,4.5,123
790,"1,2,3 May 2015 ",2015,2160,"Kensington Oval, Bridgetown, Barbados",4,DM Bravo,82,148.0,211,0,35,12.5,194
791,"6,7,8,9 May 2015 ",2015,2161,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Azhar Ali,226,428.0,562,0,9,3.3,557
792,"6,7,8,9 May 2015 ",2015,2161,"Shere Bangla National Stadium, Mirpur, Dhaka",2,Mominul Haque,13,34.0,41.0,0,4,0.4,203
793,"6,7,8,9 May 2015 ",2015,2161,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Azhar Ali,25,38.0,78,0,0,0.4,195
794,"6,7,8,9 May 2015 ",2015,2161,"Shere Bangla National Stadium, Mirpur, Dhaka",4,Mominul Haque,68,102.0,141.0,0,48,11.1,221
795,"21,22,23,24,25 May 2015 ",2015,2162,"Lord's, London",1,GS Ballance,1,9.0,12,0,17,7.2,389
796,"21,22,23,24,25 May 2015 ",2015,2162,"Lord's, London",2,KS Williamson,132,262.0,372,0,148,34.6,523
797,"21,22,23,24,25 May 2015 ",2015,2162,"Lord's, London",3,GS Ballance,0,12.0,22,0,14,2.2,478
798,"21,22,23,24,25 May 2015 ",2015,2162,"Lord's, London",4,KS Williamson,27,70.0,101,0,0,0.2,220
799,"29,30,31 May, 1,2 June 2015 ",2015,2163,"Headingley, Leeds",1,KS Williamson,0,2.0,1,0,2,2.2,350
800,"29,30,31 May, 1,2 June 2015 ",2015,2163,"Headingley, Leeds",2,GS Ballance,29,67.0,88,0,177,58.6,350
801,"29,30,31 May, 1,2 June 2015 ",2015,2163,"Headingley, Leeds",3,KS Williamson,6,20.0,16,0,15,5.5,454
802,"29,30,31 May, 1,2 June 2015 ",2015,2163,"Headingley, Leeds",4,GS Ballance,6,26.0,27,0,47,16.6,255
803,"3,4,5 June 2015 ",2015,2164,"Windsor Park, Roseau, Dominica",1,DM Bravo,19,26.0,43,0,23,5.6,148
804,"3,4,5 June 2015 ",2015,2164,"Windsor Park, Roseau, Dominica",2,SPD Smith,25,90.0,154,0,13,2.2,318
805,"3,4,5 June 2015 ",2015,2164,"Windsor Park, Roseau, Dominica",3,DM Bravo,5,27.0,46,0,21,4.6,216
806,"3,4,5 June 2015 ",2015,2164,"Windsor Park, Roseau, Dominica",4,SPD Smith,5,4.0,2,1,42,4.2,47
807,"10,11,12,13,14 June 2015 ",2015,2165,"Khan Shaheb Osman Ali Stadium, Fatullah",1,RG Sharma,6,9.0,11,0,283,67.5,462
808,"10,11,12,13,14 June 2015 ",2015,2165,"Khan Shaheb Osman Ali Stadium, Fatullah",2,Mominul Haque,30,54.0,87,0,27,5.6,256
809,"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",1,SPD Smith,199,361.0,513,0,0,0.3,399
810,"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",2,DM Bravo,14,23.0,36,0,1,2.4,220
811,"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",3,SPD Smith,54,83.0,97,1,117,36.3,212
812,"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",4,DM Bravo,11,49.0,67,0,0,0.3,114
813,"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,1,KC Sangakkara,50,106.0,145,0,30,12.2,300
814,"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,2,Azhar Ali,8,19.0,40,0,2,0.6,417
815,"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,3,KC Sangakkara,18,27.0,44,0,18,8.4,206
816,"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",1,Azhar Ali,26,45.0,68,0,5,2.1,138
817,"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",2,KC Sangakkara,34,70.0,89,0,47,22.1,315
818,"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",3,Azhar Ali,117,308.0,511,0,9,3.1,329
819,"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",4,KC Sangakkara,0,1.0,1,0,49,6.6,153
820,"3,4,5,6,7 July 2015 ",2015,2169,Pallekele International Cricket Stadium,1,WU Tharanga,46,92.0,138,0,15,4.3,278
