,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
42,"20,21,22,23,24 March 2010 ",2009/10,1956,"Shere Bangla National Stadium, Mirpur, Dhaka",4,KP Pietersen,74,79.0,125,1,42,12.6,209
43,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",1,RT Ponting (c),22,47.0,62,0,25,7.4,231
44,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",2,MS Sinclair,11,53.0,70,0,4,0.6,264
45,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",3,RT Ponting (c),6,4.0,8,0,85,32.4,511
46,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",4,MS Sinclair,29,82.0,103,0,40,13.2,302
47,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",1,IJL Trott,226,349.0,490,0,7,4.2,505
48,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",2,Junaid Siddique,58,113.0,140,0,88,21.6,282
49,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",3,Junaid Siddique,74,162.0,248,0,185,38.2,382
50,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",4,IJL Trott,36,75.0,77,1,67,11.2,163
51,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",1,IJL Trott,3,5.0,8,0,44,11.1,419
52,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",2,Junaid Siddique,1,13.0,29,0,126,23.6,216
53,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",3,Junaid Siddique,6,22.0,29,0,2,0.2,123
54,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",1,HM Amla,2,9.0,,0,55,27.5,352
55,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",2,BP Nash,1,3.0,,0,7,7.6,102
56,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",3,HM Amla,5,20.0,,0,56,15.6,206
57,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",4,BP Nash,13,16.0,,0,2,1.1,293
58,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",1,HM Amla,44,99.0,,0,99,23.1,543
59,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",2,N Deonarine,65,131.0,,0,13,3.4,546
