Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,R Dravid,4,10.0,17,0,79,14.6,70,SR Tendulkar,105,166.0,246,1.0,79.0,15.2,74,243
"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Shahriar Nafees,4,3.0,5,0,53,14.4,69,Mohammad Ashraful,2,17.0,29,0.0,58.0,15.2,81,242
"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,A Mishra,50,70.0,84,0,90,16.6,77,R Dravid,24,50.0,56,0.0,188.0,38.4,200,413
"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Shahriar Nafees,21,27.0,57,0,8,2.3,10,Mohammad Ashraful,27,32.0,33,0.0,47.0,13.5,200,301
"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Junaid Siddique,7,13.0,17,0,0,1.1,4,Mohammad Ashraful,39,31.0,54,0.0,4.0,2.3,21,233
"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",2,R Dravid,111,188.0,257,1,103,19.6,88,SR Tendulkar,143,182.0,259,0.0,146.0,29.5,345,544
"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Junaid Siddique,55,144.0,201,0,19,4.5,21,Shahadat Hossain,40,74.0,100,0.0,219.0,56.4,231,312
"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,HM Amla,253,473.0,675,1,5,4.3,19,JH Kallis,173,351.0,419,0.0,6.0,6.3,694,558
"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,M Vijay,4,13.0,15,0,31,5.1,22,SR Tendulkar,7,16.0,25,0.0,40.0,8.6,212,233
"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,M Vijay,32,90.0,135,0,1,1.2,6,SR Tendulkar,100,179.0,275,0.0,24.0,4.4,141,319
"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",1,HM Amla,114,166.0,228,0,9,2.6,13,JH Kallis,10,26.0,52,0.0,218.0,52.4,241,296
"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",2,M Vijay,7,15.0,18,0,73,9.2,46,SR Tendulkar,106,206.0,266,0.0,82.0,12.4,325,643
"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",3,HM Amla,123,394.0,499,1,36,12.1,59,JH Kallis,20,47.0,66,0.0,54.0,17.2,558,290
"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",1,PJ Ingram,42,47.0,55,0,17,5.5,24,LRPL Taylor,40,63.0,72,0.0,57.0,14.6,66,553
"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",2,Junaid Siddique,21,55.0,67,0,79,12.5,52,Aftab Ahmed,33,56.0,74,0.0,118.0,25.4,105,408
"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",3,PJ Ingram,13,60.0,82,0,2,1.5,7,LRPL Taylor,51,72.0,89,0.0,52.0,21.5,256,258
"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",4,Junaid Siddique,8,8.0,10,0,35,5.4,24,Aftab Ahmed,8,37.0,45,0.0,51.0,8.2,96,282
"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,IJL Trott,39,77.0,91,0,72,18.2,75,KP Pietersen,99,135.0,144,0.0,149.0,39.5,410,599
"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Junaid Siddique,7,17.0,17,0,13,2.4,10,Aftab Ahmed,1,6.0,20,0.0,27.0,6.5,180,296
"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,IJL Trott,14,25.0,37,0,65,15.4,71,KP Pietersen,32,24.0,23,0.0,87.0,24.1,142,209
"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Junaid Siddique,106,292.0,385,0,33,11.4,46,Aftab Ahmed,26,54.0,77,0.0,45.0,14.3,431,331
"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",1,RT Ponting (c),41,86.0,123,0,25,5.5,25,MEK Hussey,4,11.0,17,0.0,104.0,35.1,261,459
"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",2,PJ Ingram,5,32.0,49,0,3,0.5,3,LRPL Taylor,21,38.0,54,0.0,14.0,12.6,73,157
"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",3,PJ Ingram,1,12.0,17,0,70,34.2,131,LRPL Taylor,25,26.0,36,0.0,78.0,38.3,273,407
