,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
55,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",3,JH Kallis,40,67.0,,0,79.0,22.2,206
56,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",4,S Chanderpaul,15,48.0,,0,39.0,6.4,293
57,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",1,JH Kallis,110,227.0,,0,211.0,56.3,543
58,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",2,S Chanderpaul,166,357.0,,0,106.0,31.1,546
59,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",3,JH Kallis,62,128.0,,0,131.0,50.4,235
60,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",1,S Chanderpaul,22,63.0,,0,21.0,4.6,231
61,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",2,PL Harris,11,30.0,,0,41.0,10.1,346
62,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",3,S Chanderpaul,71,179.0,,0,27.0,4.5,161
63,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",4,JH Kallis,0,15.0,,0,29.0,4.2,49
64,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",1,MJ Clarke,47,77.0,110,0,51.0,16.6,253
65,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",2,Umar Amin,1,3.0,8,0,45.0,16.6,148
66,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",3,MJ Clarke,12,25.0,29,0,73.0,18.3,334
67,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",4,Umar Amin,33,55.0,93,0,152.0,46.6,289
68,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,1,DPMD Jayawardene,48,78.0,123,0,236.0,61.1,520
69,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,2,SR Tendulkar,8,21.0,29,0,68.0,12.2,276
70,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,3,SR Tendulkar,84,142.0,168,0,42.0,10.3,338
71,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",1,MJ Clarke,3,20.0,23,0,20.0,7.2,88
72,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",2,Umar Amin,25,52.0,78,0,133.0,33.3,258
73,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",3,MJ Clarke,77,143.0,234,0,55.0,15.5,349
74,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",4,Umar Amin,0,6.0,6,0,137.0,32.6,180
75,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",1,DPMD Jayawardene,174,244.0,358,0,273.0,71.6,642
76,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",2,SR Tendulkar,203,347.0,516,0,169.0,37.5,707
77,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",3,DPMD Jayawardene,5,34.0,39,1,73.0,18.4,129
78,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",1,KP Pietersen,9,29.0,38,0,93.0,23.4,354
79,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",2,Umar Amin,2,6.0,6,0,32.0,16.4,182
80,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",3,KP Pietersen,22,50.0,76,0,18.0,7.1,262
81,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",4,Umar Amin,1,4.0,3,0,10.0,3.3,80
82,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",1,DPMD Jayawardene,56,154.0,188,0,102.0,24.3,425
83,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",2,SR Tendulkar,41,72.0,88,0,92.0,17.4,436
84,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",3,S Randiv,6,37.0,32,0,39.0,11.6,267
85,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",4,SR Tendulkar,54,122.0,186,0,27.0,9.1,258
86,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",1,Shoaib Malik,3,4.0,6,0,9.0,13.1,72
87,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",2,KP Pietersen,80,147.0,246,0,44.0,12.6,251
88,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",3,Shoaib Malik,3,23.0,37,0,53.0,29.3,296
89,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",1,KP Pietersen,6,29.0,59,0,35.0,10.3,233
90,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",2,Salman Butt (c),17,24.0,35,0,48.0,18.2,308
91,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",3,IJL Trott,36,130.0,208,0,40.0,11.1,222
92,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",4,Mohammad Yousuf,33,56.0,89,0,57.0,11.3,148
93,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",1,KP Pietersen,0,1.0,5,0,39.0,12.6,446
94,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",2,Mohammad Yousuf,0,4.0,5,0,9.0,4.5,74
95,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",3,Mohammad Yousuf,10,19.0,47,0,9.0,6.2,147
96,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,MJ Clarke,14,39.0,47,0,154.0,41.4,428
97,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,I Sharma,18,56.0,73,0,106.0,19.3,405
98,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,MJ Clarke,4,9.0,10,0,91.0,18.5,192
99,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,SR Tendulkar,38,64.0,106,0,31.0,7.4,216
100,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",1,MJ Clarke,14,26.0,26,0,113.0,34.2,478
101,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",2,SR Tendulkar,214,363.0,547,0,38.0,9.6,495
102,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",3,MJ Clarke,3,18.0,17,0,58.0,17.1,223
103,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",4,SR Tendulkar,53,77.0,125,0,89.0,15.2,207
104,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1,SR Tendulkar,40,133.0,168,0,297.0,74.2,487
105,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2,LRPL Taylor,56,124.0,158,0,27.0,9.1,459
106,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",3,SR Tendulkar,12,25.0,27,0,1.0,1.6,266
107,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,LRPL Taylor,24,53.0,67,0,151.0,49.5,350
108,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,SR Tendulkar,13,28.0,52,0,160.0,41.3,472
109,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,LRPL Taylor,7,19.0,28,0,174.0,53.6,448
110,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,1,JH Kallis,73,156.0,249,0,190.0,52.1,380
111,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,2,Younis Khan,35,85.0,116,0,111.0,38.4,248
112,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,3,JH Kallis,135,218.0,280,1,76.0,26.5,318
113,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,4,Younis Khan,131,230.0,344,0,75.0,32.1,343
114,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,1,S Chanderpaul,32,104.0,131,0,306.0,72.6,580
115,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,2,DPMD Jayawardene,59,104.0,149,0,61.0,14.6,378
116,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,3,DPMD Jayawardene,58,134.0,212,0,110.0,28.6,241
117,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,JD Ryder,59,113.0,183,0,16.0,8.4,193
118,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,SR Tendulkar,61,129.0,162,0,192.0,44.1,566
119,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,MJ Guptill,0,1.0,5,0,38.0,13.6,175
120,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",1,JH Kallis,105,147.0,225,0,6.0,3.2,584
121,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",2,Younis Khan,14,40.0,51,0,119.0,38.3,434
122,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",3,JH Kallis,10,37.0,45,0,113.0,21.2,203
123,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",4,Younis Khan,0,2.0,1,1,66.0,21.2,153
124,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",1,DPMD Jayawardene,2,7.0,6,0,31.0,12.5,387
125,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",2,S Chanderpaul,8,40.0,58,0,51.0,11.6,243
126,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",4,S Chanderpaul,0,13.0,18,1,11.0,5.5,12
127,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,KP Pietersen,43,70.0,95,0,41.0,13.6,260
128,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,MJ Clarke,9,50.0,76,0,96.0,33.2,481
129,"1,2,3,4,5 December 2010 ",2010/11,1982,Pallekele International Cricket Stadium,1,S Chanderpaul,54,145.0,191,0,115.0,32.2,303
130,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,1,MJ Clarke,2,6.0,7,0,0.0,0.5,245
131,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,2,KP Pietersen,227,308.0,428,0,176.0,48.3,620
132,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,3,MJ Clarke,80,139.0,170,0,98.0,35.2,304
133,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",1,MJ Clarke,4,10.0,13,0,17.0,4.5,268
134,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",2,KP Pietersen,0,3.0,2,0,82.0,26.3,187
135,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",3,MJ Clarke,20,18.0,21,0,34.0,16.1,309
136,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",4,KP Pietersen,3,23.0,36,0,37.0,9.5,123
137,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",1,SR Tendulkar,36,34.0,61,0,24.0,12.6,136
138,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",2,JH Kallis,201,270.0,389,0,166.0,40.1,620
139,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",3,I Sharma,23,51.0,69,0,170.0,39.2,459
140,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,1,MJ Clarke,20,54.0,89,0,37.0,13.1,98
141,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,2,KP Pietersen,51,89.0,127,1,170.0,55.3,513
142,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,3,MJ Clarke,13,66.0,81.0,0,99.0,31.6,258
143,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",1,SR Tendulkar,13,22.0,42,0,48.0,12.5,205
144,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",2,JH Kallis,10,17.0,27,0,46.0,10.3,131
145,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",3,SR Tendulkar,6,10.0,22,0,44.0,10.3,228
146,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",4,JH Kallis,17,52.0,77,0,82.0,15.4,215
147,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",1,JH Kallis,161,291.0,459,0,34.0,13.3,362
148,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",2,SR Tendulkar,146,314.0,465,0,28.0,10.5,364
149,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",3,HM Amla,2,11.0,21,0,52.0,15.2,341
150,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",4,SR Tendulkar,14,91.0,146,0,106.0,48.5,166
151,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,1,MJ Clarke (c),4,21.0,25,0,105.0,44.3,280
152,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,2,KP Pietersen,36,70.0,87,0,99.0,23.3,644
153,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,3,MJ Clarke (c),41,73.0,96,0,52.0,19.2,281
154,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",1,LRPL Taylor,6,27.0,28,0,92.0,30.2,275
155,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",2,Younis Khan,23,24.0,46,0,72.0,22.2,367
156,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",3,LRPL Taylor,8,21.0,36,0,44.0,16.3,110
157,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",1,LRPL Taylor,78,168.0,251,0,46.0,12.1,356
158,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",2,Younis Khan,73,161.0,238,0,134.0,49.5,376
159,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",3,LRPL Taylor,52,101.0,135,0,166.0,52.4,293
160,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",4,Younis Khan,81,155.0,191,0,35.0,10.1,226
161,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",1,RR Sarwan,23,79.0,100,0,71.0,33.3,226
162,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",2,Misbah-ul-Haq (c),2,13.0,11,0,57.0,22.2,160
163,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",3,KAJ Roach,3,18.0,19,0,23.0,7.3,152
164,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",4,Asad Shafiq,42,110.0,147,0,2.0,1.5,178
165,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",1,Asad Shafiq,0,8.0,9,0,22.0,9.1,272
166,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",2,RR Sarwan,20,32.0,46,0,22.0,5.4,223
167,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",3,Asad Shafiq,4,23.0,25,0,158.0,53.3,377
168,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",4,RR Sarwan,0,4.0,8,0,59.0,17.5,230
169,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",1,DPMD Jayawardene,4,35.0,46,0,114.0,39.6,400
170,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",2,IJL Trott,203,409.0,517,0,47.0,22.5,496
171,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",3,DPMD Jayawardene,15,32.0,36,0,10.0,3.2,82
172,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",1,KP Pietersen,2,8.0,10,0,18.0,5.4,486
173,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",2,DPMD Jayawardene,49,84.0,137,0,288.0,80.4,479
174,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",3,KP Pietersen,72,124.0,167,0,117.0,25.4,335
175,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",4,TT Samaraweera,17,58.0,83,0,66.0,22.3,127
176,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",1,DPMD Jayawardene,4,25.0,39,0,23.0,13.5,184
177,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",2,KP Pietersen,85,115.0,184,0,14.0,7.3,377
178,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",3,DPMD Jayawardene,6,23.0,30,0,86.0,37.6,334
179,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",1,VVS Laxman,12,31.0,47,0,30.0,11.6,246
180,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",2,DM Bravo,18,56.0,81,0,35.0,21.1,173
181,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",3,VVS Laxman,0,5.0,5,0,56.0,24.3,252
182,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",4,DM Bravo,41,89.0,119,0,63.0,11.3,262
183,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",1,VVS Laxman,85,146.0,246,0,8.0,10.1,201
184,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",2,DM Bravo,9,21.0,35,0,5.0,4.4,190
185,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",3,VVS Laxman,87,188.0,257,0,89.0,30.1,269
186,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",4,DM Bravo,73,174.0,282,0,27.0,6.2,202
