,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
0,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,1,MEK Hussey,28,52.0,96,0,2.0,3.5,127
1,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,2,Mohammad Yousuf (c),46,56.0,80,0,144.0,56.6,333
2,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,3,MEK Hussey,134,284.0,385,0,144.0,41.2,381
3,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,4,Mohammad Yousuf (c),19,28.0,40,0,50.0,10.4,139
4,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",1,JH Kallis,108,189.0,266,0,46.0,16.4,291
5,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",2,KP Pietersen,0,2.0,3,0,36.0,12.4,273
6,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",3,JH Kallis,46,96.0,155,0,261.0,65.4,447
7,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",4,KP Pietersen,6,22.0,34,0,107.0,39.3,296
8,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",1,MEK Hussey,6,12.0,19,0,52.0,15.6,519
9,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",2,Mohammad Yousuf (c),7,24.0,24,0,63.0,22.6,301
10,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",3,MEK Hussey,13,21.0,24,0,192.0,43.1,219
11,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",4,Mohammad Yousuf (c),23,28.0,38,0,29.0,9.6,206
12,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",1,KP Pietersen,7,16.0,26,0,7.0,1.6,180
13,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",2,JH Kallis,7,24.0,41,0,201.0,57.2,423
14,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",3,KP Pietersen,12,42.0,91,0,21.0,6.1,169
15,"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,SR Tendulkar,105,166.0,246,0,79.0,15.2,243
16,"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Mohammad Ashraful,2,17.0,29,0,58.0,15.2,242
17,"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,R Dravid,24,50.0,56,0,188.0,38.4,413
18,"17,18,19,20,21 January 2010 ",2009/10,1949,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Mohammad Ashraful,27,32.0,33,0,47.0,13.5,301
19,"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mohammad Ashraful,39,31.0,54,0,4.0,2.3,233
20,"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",2,SR Tendulkar,143,182.0,259,1,146.0,29.5,544
21,"24,25,26,27 January 2010 ",2009/10,1950,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Shahadat Hossain,40,74.0,100,0,219.0,56.4,312
22,"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,JH Kallis,173,351.0,419,1,6.0,6.3,558
23,"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,SR Tendulkar,7,16.0,25,0,40.0,8.6,233
24,"6,7,8,9 February 2010 ",2009/10,1951,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,SR Tendulkar,100,179.0,275,0,24.0,4.4,319
25,"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",1,JH Kallis,10,26.0,52,0,218.0,52.4,296
26,"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",2,SR Tendulkar,106,206.0,266,0,82.0,12.4,643
27,"14,15,16,17,18 February 2010 ",2009/10,1952,"Eden Gardens, Kolkata",3,JH Kallis,20,47.0,66,1,54.0,17.2,290
28,"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",1,LRPL Taylor,40,63.0,72,0,57.0,14.6,553
29,"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",2,Aftab Ahmed,33,56.0,74,0,118.0,25.4,408
30,"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",3,LRPL Taylor,51,72.0,89,0,52.0,21.5,258
31,"15,16,17,18,19 February 2010 ",2009/10,1953,"Seddon Park, Hamilton",4,Aftab Ahmed,8,37.0,45,0,51.0,8.2,282
32,"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,KP Pietersen,99,135.0,144,0,149.0,39.5,599
33,"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Aftab Ahmed,1,6.0,20,0,27.0,6.5,296
34,"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,KP Pietersen,32,24.0,23,0,87.0,24.1,209
35,"12,13,14,15,16 March 2010 ",2009/10,1954,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Aftab Ahmed,26,54.0,77,0,45.0,14.3,331
36,"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",1,MEK Hussey,4,11.0,17,0,104.0,35.1,459
37,"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",2,LRPL Taylor,21,38.0,54,0,14.0,12.6,157
38,"19,20,21,22,23 March 2010 ",2009/10,1955,"Basin Reserve, Wellington",3,LRPL Taylor,25,26.0,36,0,78.0,38.3,407
39,"20,21,22,23,24 March 2010 ",2009/10,1956,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Jahurul Islam,0,6.0,5,0,119.0,22.1,419
40,"20,21,22,23,24 March 2010 ",2009/10,1956,"Shere Bangla National Stadium, Mirpur, Dhaka",2,PD Collingwood,0,3.0,7,0,105.0,40.4,496
41,"20,21,22,23,24 March 2010 ",2009/10,1956,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Jahurul Islam,43,76.0,109,0,86.0,30.2,285
42,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",1,MEK Hussey,22,48.0,65,0,63.0,23.3,231
43,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",2,LRPL Taylor,138,104.0,180,0,30.0,18.5,264
44,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",3,MEK Hussey,67,160.0,207,0,91.0,34.2,511
45,"27,28,29,30,31 March 2010 ",2009/10,1957,"Seddon Park, Hamilton",4,LRPL Taylor,22,42.0,65,0,53.0,17.5,302
46,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",1,KP Pietersen,18,29.0,33,0,188.0,43.4,505
47,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",2,Jahurul Islam,20,81.0,109,0,134.0,32.5,282
48,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",3,Jahurul Islam,46,97.0,118,0,189.0,42.3,382
49,"27,28,29,30,31 May 2010 ",2010,1958,"Lord's, London",4,KP Pietersen,10,13.0,9,1,147.0,32.3,163
50,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",1,KP Pietersen,64,81.0,109,0,48.0,13.1,419
51,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",2,Jahurul Islam,5,14.0,24,0,153.0,30.6,216
52,"4,5,6 June 2010 ",2010,1959,"Old Trafford, Manchester",3,Mohammad Ashraful,14,14.0,31,0,14.0,5.6,123
53,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",1,JH Kallis,28,65.0,,0,60.0,30.2,352
54,"10,11,12,13 June 2010 ",2010,1960,"Queen's Park Oval, Port of Spain, Trinidad",2,S Chanderpaul,26,85.0,,0,9.0,9.1,102
